nom,categorie1,adresse longue
"104,7 Outaouais",Broadcasting & Media Production Company,"150 d'Edmonton, Gatineau, Quebec J8Y 3S6"
"98,5 FM",Website,"800 de la Gauchetière Ouest, bureau 1100, Montreal, Quebec H5A 1M1"
Acadie Nouvelle,Newspaper,"476 boulevard Saint-Pierre, Caraquet, New Brunswick E1W 1B7"
Beauce Média,Media/News Company,"1068, Boulevard Vachon Nord, bureau 010, Sainte-Marie, Quebec G6E 1M6"
CBC Montreal,Broadcasting & Media Production Company,"1400 René Lévesque Boulevard E, Montreal, Quebec H2L 2M2"
"CIHO FM 96,3 Charlevoix",Radio Station,"315, Cartier-Nord, Saint Hilarion, Quebec G0A 3V0"
CIME.FM,Arts & Entertainment,"300, rue Marie-Victorin, Saint-Jérôme, Quebec J7Y 2G8"
CIMT Nouvelles,Broadcasting & Media Production Company,"15 rue de la Chute, Rivière-du-Loup, Quebec G5R 5B7"
CJAD 800 Montreal,Broadcasting & Media Production Company,"1717 Boulevard René-Lévesque Est, Montreal, Quebec H2L 2R8"
CTV Montreal,TV Channel,"1205 Papineau Ave., Montreal, Quebec H2K 4R2"
EnBeauce.com,Newspaper,"9085, boul. Lacroix, Saint-Georges, Quebec G5Y 2B4"
EstriePlus.com Le Journal Internet,News & Media Website,"175, rue Queen, Sherbrooke, Quebec J1M 1K1"
"FM 103,3 - La radio allumée",Radio Station,"91 St-Jean, Longueuil, Quebec J4H 2W8"
FM93 Québec,Radio Station,"1305 chemin Ste-Foy, Quebec, Quebec G1S 4Y5"
Global Montreal,Media/News Company,"1010 Saint Catherine Street West, Montreal, Quebec H3B 5L1"
"Gravel dans le retour - Radio X 98,1",Radio Station,"1134, Grande-Allée Ouest, Quebec, Quebec G1S 1E5"
HuffPost Québec,News & Media Website,"1801 avenue McGill College, bureau 740, Montreal, Quebec H3A 2N4"
ICI Abitibi-Témiscamingue,Arts & Entertainment,"70, avenue Principale, Rouyn, Quebec J9X 4P2"
ICI Bas-Saint-Laurent,Broadcasting & Media Production Company,"185, boul. René-Lepage Est, Rimouski, Quebec G5L1P2"
ICI Estrie,Broadcasting & Media Production Company,"1335 rue King Ouest, J1J2B8 Sherbrooke"
ICI Gaspésie-Les-Îles,Media/News Company,"303 rue St-Jérôme, G4W3A8 Matane"
ICI Grand Montréal,Media/News Company,"1400, boul. René Lévesque Est, H2L2M2 Montréal"
ICI Mauricie Centre-du-Québec,Broadcasting & Media Production Company,"225 rue des Forges, Trois-Rivières, Quebec G9A 2G7"
ICI Ottawa Gatineau,Broadcasting & Media Production Company,"181, rue Queen, Ottawa, Ontario K1Y 1E4"
ICI Québec,Broadcasting & Media Production Company,"888, rue Saint-Jean, Quebec, Quebec G1R 5H6"
Info Dimanche,Media/News Company,"72, rue Fraser, Rivière-du-Loup, Quebec G5R 1C6"
Infopresse,Publisher,"4316, boulevard St-Laurent, Montreal, Quebec H2W 1Z3"
Journal L'Express de Drummondville,Newspaper,"1050, rue Cormier, Drummondville, Quebec J2C 2N6"
Journal Le Canada français,Newspaper,"315, rue MacDonald, bureau 250, Saint-Jean-sur-Richelieu, Quebec J3B 8J3"
Journal Le Manic,Newspaper,"770, De Bretagne, Baie-Comeau, Quebec G5C 1X5"
Journal Le Soleil de Châteauguay,Media,"82, boulevard Salaberry Sud, Châteauguay, Quebec J6J 4J6"
KYK 95.7 Radio X,Broadcasting & Media Production Company,"345, des Saguenéens, Local 160, Chicoutimi, Quebec G7H 6K9"
L'Avantage,Media/News Company,"217, avenue Léonidas sud, Bureau 6-D, Rimouski, Quebec G5L 2T5"
L'Écho Abitibien,Newspaper,"1462 rue de la Québécoise, Val-d'Or, Quebec J9P 5H4"
L'Éclaireur Progrès,Media/News Company,"710, 98e Rue, Saint-Georges, Quebec G5Y 8G1"
L'Hebdo du St-Maurice,Broadcasting & Media Production Company,"1672, avenue Saint-Marc, Shawinigan, Quebec G9N 2H4"
L'Hebdo Journal,Media/News Company,"635 rue Père-Daniel, G9A 5Z7 Trois-Rivières"
La Frontière / Le Citoyen,Newspaper,"177, rue Taschereau Est, Rouyn, Quebec J9X 3E6"
La Terre de chez nous,News & Media Website,"555 boulevard Roland-Therrien, Longueuil, Quebec J4H3Y9"
La Tribune,Newspaper,"1950 Roy, Sherbrooke, Quebec J1K2X8"
La Voix de l'Est,Newspaper,"76 rue Dufferin, Granby, Quebec J2G 9L4"
Le Courrier du Haut-Richelieu,Newspaper,"192-A rue Richelieu, Saint-Jean-sur-Richelieu, Quebec J3B 6X6"
Le Devoir,News & Media Website,"1265 rue Berri, 8e étage, Montreal, Quebec H2L 4X4"
Le Droit,Broadcasting & Media Production Company,"47, rue Clarence, bureau 222, Ottawa, Ontario K1G 3J9"
Le Journal de Québec,Newspaper,"450 Béchard, Quebec, Quebec G1M 2E9"
Le Journal Saint-François,Media/News Company,"55 rue Jacques-Cartier, Salaberry-De-Valleyfield, Quebec J6T 4R4"
Le Nord-Côtier,Newspaper,"719, boulevard Laure, Sept-Îles, Quebec G4R 1Y2"
Le Nouvelliste,Broadcasting & Media Production Company,"1920, rue Bellefeuille, Trois-Rivières, Quebec G9A 3Y2"
Le Quotidien,Broadcasting & Media Production Company,"1051 boulevard Talbot, Chicoutimi, Quebec G7H 5C1"
Le Reflet du Lac,Media,"53, rue Centre (bureau 300), Magog, Quebec J1X 5B6"
"Le Soleil, le quotidien de Québec",Media/News Company,"410, boulevard Charest Est, Quebec, Quebec G1K 7J6"
Les 2 Rives,News & Media Website,"58, rue Charlotte, Sorel, Quebec J3P 1G3"
Les Affaires,Business & Economy Website,"1100, boul. René-Lévesque Ouest, 24e étage, Montreal, Quebec H3B 4X9"
Rad,Media/News Company,"1400 Boulevard René-Lévesque E, Montreal, Quebec H2L 2M2"
Radio-Canada Information,News & Media Website,"1400, boulevard René-Lévesque Est, Montreal, Quebec H2L 2M2"
Radio-Canada Science,Media/News Company,"1400, boulevard René-Lévesque Est, Montreal, Quebec H2L 2M2"
RDS,TV Network,"1755, Boul. René-Lévesque Est, Montreal, Quebec H2K 4P6"
TVA Est-du-Québec,Broadcasting & Media Production Company,"465, boulevard Sainte-Anne, Rimouski, Quebec G5M 1G1"
TVA Sherbrooke,TV Channel,"3330, rue King Ouest, Sherbrooke, Quebec J1L 1C9"
URBANIA,Media/News Company,"880 ROY E. #200, Montreal, Quebec H2L 1E6"
www.lanouvelle.net,Newspaper,"43 Rue Notre-Dame E, Victoriaville, Quebec G6P 3Z4"
